,random_array,algorithm,time_taken
753,107,qs5,0.0022766590118408203
754,107,merge1,0.002173900604248047
755,107,partition_sort,0.0010008811950683594
756,108,qs1,0.001867055892944336
757,108,qs2,0.0022859573364257812
758,108,qs3,0.002187013626098633
759,108,qs4,0.002332925796508789
760,108,qs5,0.0022432804107666016
761,108,merge1,0.002190113067626953
762,108,partition_sort,0.001007080078125
763,109,qs1,0.0019109249114990234
764,109,qs2,0.002205371856689453
765,109,qs3,0.002232789993286133
766,109,qs4,0.0023407936096191406
767,109,qs5,0.002131938934326172
768,109,merge1,0.0021898746490478516
769,109,partition_sort,0.0010097026824951172
770,110,qs1,0.0018610954284667969
771,110,qs2,0.0022139549255371094
772,110,qs3,0.002209901809692383
773,110,qs4,0.002274036407470703
774,110,qs5,0.002257108688354492
775,110,merge1,0.002177000045776367
776,110,partition_sort,0.0010039806365966797
